time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.998913295276211e-09,2.923312402451326e-07,10.005734970896812,0.00025035222632130427,2.2985557723842476e-06,0.0,-1.9951062401179483e-07,2.546095253797287e-05,0.1911523411098109,0.011429472526496244,0.00011482517450548692,0.0,464.37347706262494,464.38248163772107,465.0210455798183,465.9152689248581
0.12000000000000001,-2.1036899139854636e-07,9.003916656683684e-06,10.018757122193382,0.0008191176622753815,0.0001564381121381686,0.0,-1.4766735140328019e-05,0.00032472860105459914,0.24290928726845482,0.005262361545297187,0.007074048905020083,0.0,421.16128321208646,421.76261552196496,421.5309219287963,420.99762988565374
0.18,-5.900786855493403e-06,4.650892299422588e-05,10.036087006445293,0.0006877952302444257,0.0005894793717118318,0.0,-0.00021812699747855962,0.0009421277482287205,0.33473042283514925,-0.024446922559414684,0.0075024433685664665,0.0,434.1266485787177,434.1624768083081,435.8456277020415,433.35595030040514
0.23999999999999996,-3.298259138688535e-05,0.00011153986024316447,10.05899893102617,6.282041971694202,0.0012525202779700706,0.0,-0.0007416970959141586,0.0010629799499335744,0.42896910745919115,-0.04683768212213165,0.017340554602575962,0.0,435.3778518067603,436.1999526318176,435.55231464348253,433.675522394188
0.3,-0.00010961658641346435,0.0001401790653150858,10.088156484105467,6.278931273451747,0.0033627687023018993,0.0,-0.001990589894730547,-0.0004136743230080753,0.5429005430028943,-0.06443593028835308,0.05743204958383668,0.0,440.1074245205681,443.41323187178017,441.98497946837944,440.53057357398524
0.36000000000000004,-0.00030703815866375237,1.8638409635151835e-05,10.122539529442458,6.274658366717057,0.006926584748543796,0.0,-0.00492716933204598,-0.004023310969836837,0.603166976352382,-0.09036745268907911,0.06306101021704173,0.0,424.139054056064,424.6247985838345,425.59356067713287,423.36409218680546
0.4200000000000001,-0.0007506210822293413,-0.00040736752867853027,10.160471385076107,6.269531419270486,0.010675718904056275,0.0,-0.010219513837339074,-0.01068038636505528,0.6611878494947258,-0.0770879971293672,0.06130967384648122,0.0,424.3966654536242,424.2493633494377,422.66696842102965,423.80322260693606
0.48000000000000015,-0.0016439456843453364,-0.0014054782926364898,10.207126319490184,6.265145178148627,0.014574453021991118,0.0,-0.020018185198912117,-0.02313453431204543,0.8938097166738581,-0.06613911617243079,0.0714561839545647,0.0,477.3685356604058,478.1448147262407,477.1334510093618,477.9647012000719
0.5400000000000001,-0.0032203780759675017,-0.003250560437232587,10.267430060406872,6.26098393116494,0.01964623003065924,0.0,-0.033098484398440126,-0.03885154045672305,1.1161053474267466,-0.07671196614055022,0.10258718237873463,0.0,472.93383775802585,475.33031615331237,476.31037616529784,475.4978613923896
0.6000000000000002,-0.005584436590600658,-0.006001058351928225,10.334923971366193,6.256208395350889,0.02543450347746301,0.0,-0.046243333770237184,-0.05325149538706006,1.1336518701043956,-0.0860803448952804,0.07999879219648771,0.0,412.8977122990047,410.908829284885,411.1012831793409,410.2647132627532
0.6600000000000003,-0.008910395647675689,-0.00978076214011554,10.406210633158343,6.251130592270936,0.02976129378535486,0.0,-0.06509967768278384,-0.07326406222965291,1.242428448691312,-0.08187845590559507,0.047612857120568855,0.0,443.9173911456795,441.2559261319202,439.52903404535397,439.87113160893176
0.7200000000000003,-0.013419008727074655,-0.01483205664722189,10.482971970764822,6.24587551132857,0.03273930519800228,0.0,-0.08547172531436865,-0.09560483949645149,1.316173067173218,-0.10254757100587841,0.05339490193232183,0.0,430.8859186442819,431.3760193557093,430.2981917056334,428.5381445746729
0.7800000000000004,-0.01931597781729022,-0.021452384270057547,10.567265603145517,6.239287526659105,0.0369626219696233,0.0,-0.11152246904203025,-0.12577886828365994,1.4933536837852064,-0.1310629686535334,0.09196571999342369,0.0,461.3413138960706,464.3796894776579,463.7915391590697,461.53600463378746
0.8400000000000004,-0.027012216113561548,-0.03019755987472037,10.665610643102118,6.231339760329764,0.04277237297281555,0.0,-0.14574373958848194,-0.16673669762556853,1.7843239624493472,-0.13541723694142357,0.10510974766156715,0.0,496.0762039146277,497.04720139333523,496.36846359482263,496.03469620375205
0.9000000000000005,-0.036750586303937946,-0.04140697172067329,10.777575912991994,6.223117365406944,0.04866919582223961,0.0,-0.17954377122036572,-0.20780444220328856,1.947499339912712,-0.1404964387674925,0.07891848119779142,0.0,460.3550376290156,458.2857178872853,461.2117308736809,460.793755270592
0.9600000000000005,-0.048719891282630705,-0.05536143746784985,10.900845899772373,6.214400547957183,0.05355300847600741,0.0,-0.21998719323490162,-0.25833473372773347,2.161016613836009,-0.15714417662351132,0.08593989808638589,0.0,475.78107247175467,476.3231684034212,476.4319132787456,475.13897269067076
1.0200000000000005,-0.06307163700250744,-0.0723501695160061,11.033912744147008,6.204919801005982,0.05847326647085094,0.0,-0.2589190270321394,-0.30892130912370064,2.2742115824861,-0.15980568810933832,0.07267166096500856,0.0,447.3746129830542,446.2983667652474,446.40025706020515,446.1594568443043
1.0800000000000005,-0.0797811271859286,-0.092466243559773,11.172417357108746,6.1960316270591385,0.06297948937350295,0.0,-0.29848908463872204,-0.36249346854159004,2.3423548961639074,-0.13149843357117627,0.07956875149810505,0.0,432.7715910116929,433.35628960291444,431.65930790111355,434.0195085516186
